TQQJQK,1131,8.0,"12, 37, 64, 69, 78, 79, 91, 96"
TQQJKJ,1221,7.0,"23, 26, 44, 56, 82, 89, 94"
TQQJKK,1122,9.0,"11, 15, 27, 29, 32, 53, 59, 66, 96"
TQQQTJ,2130,7.0,"18, 46, 57, 75, 78, 84, 91"
TQQQTK,2031,6.0,"13, 38, 58, 59, 79, 89"
TQQQJJ,1230,4.0,"33, 38, 59, 92"
TQQQJK,1131,7.0,"24, 33, 46, 64, 69, 75, 76"
TQQQQJ,1140,9.0,"26, 32, 34, 35, 38, 43, 73, 88, 94"
TQQQQK,1041,6.0,"32, 33, 62, 71, 81, 89"
TQQQKJ,1131,10.0,"22, 25, 43, 54, 55, 58, 64, 75, 78, 87"
TQQQKK,1032,10.0,"14, 31, 43, 56, 64, 65, 73, 77, 79, 97"
TQQKTJ,2121,5.0,"14, 33, 47, 69, 77"
TQQKTK,2022,4.0,"39, 76, 96, 97"
TQQKJJ,1221,6.0,"17, 22, 46, 59, 68, 89"
TQQKJK,1122,7.0,"45, 48, 71, 74, 81, 84, 98"
TQQKQJ,1131,6.0,"15, 36, 37, 72, 81, 87"
TQQKQK,1032,7.0,"22, 23, 43, 58, 61, 79, 85"
TQQKKJ,1122,4.0,"32, 62, 65, 78"
TQQKKK,1023,10.0,"25, 28, 31, 46, 49, 66, 69, 82, 91, 93"
TQKTTJ,3111,7.0,"16, 19, 32, 38, 85, 86, 91"
TQKTTK,3012,6.0,"21, 35, 47, 56, 62, 78"
TQKTJJ,2211,4.0,"28, 48, 55, 75"
TQKTJK,2112,3.0,"46, 88, 94"
TQKTQJ,2121,9.0,"11, 14, 29, 54, 63, 68, 74, 84, 92"
TQKTQK,2022,8.0,"12, 33, 52, 72, 78, 82, 94, 99"
TQKTKJ,2112,5.0,"13, 53, 76, 89, 95"
TQKTKK,2013,7.0,"18, 32, 45, 57, 62, 69, 81"
TQKJTJ,2211,6.0,"12, 13, 36, 61, 69, 88"
TQKJTK,2112,6.0,"34, 37, 55, 73, 86, 89"
TQKJJJ,1311,5.0,"32, 36, 51, 59, 92"
TQKJJK,1212,7.0,"15, 28, 48, 58, 66, 72, 78"
TQKJQJ,1221,7.0,"46, 53, 55, 58, 64, 86, 98"
TQKJQK,1122,12.0,"11, 26, 32, 47, 54, 57, 62, 68, 71, 77, 81, 89"
TQKJKJ,1212,6.0,"48, 57, 75, 79, 88, 97"
TQKJKK,1113,8.0,"17, 28, 41, 58, 77, 79, 95, 98"
TQKQTJ,2121,8.0,"17, 21, 32, 44, 65, 77, 83, 93"
TQKQTK,2022,9.0,"19, 43, 46, 55, 57, 75, 85, 93, 99"
TQKQJJ,1221,9.0,"16, 22, 35, 64, 65, 71, 77, 88, 98"
TQKQJK,1122,6.0,"12, 21, 32, 42, 66, 77"
TQKQQJ,1131,7.0,"21, 25, 31, 52, 75, 76, 79"
TQKQQK,1032,8.0,"26, 28, 44, 47, 59, 64, 68, 86"
TQKQKJ,1122,7.0,"21, 33, 35, 42, 47, 56, 84"
TQKQKK,1023,8.0,"24, 27, 31, 33, 36, 55, 69, 93"
TQKKTJ,2112,8.0,"14, 17, 26, 82, 83, 89, 94, 97"
TQKKTK,2013,8.0,"12, 18, 44, 53, 54, 56, 57, 66"
TQKKJJ,1212,6.0,"19, 39, 49, 54, 75, 96"
TQKKJK,1113,7.0,"14, 43, 55, 56, 64, 68, 89"
TQKKQJ,1122,6.0,"21, 63, 77, 78, 86, 93"
TQKKQK,1023,7.0,"18, 24, 34, 42, 54, 57, 91"
TQKKKJ,1113,4.0,"26, 56, 64, 67"
TQKKKK,1014,7.0,"11, 26, 27, 45, 71, 74, 81"
TKTTTJ,4101,8.0,"12, 18, 27, 34, 45, 51, 72, 78"
TKTTTK,4002,7.0,"25, 28, 29, 38, 52, 64, 79"
TKTTJJ,3201,9.0,"11, 32, 35, 48, 62, 65, 66, 71, 99"
TKTTJK,3102,7.0,"27, 34, 36, 37, 58, 88, 93"
TKTTQJ,3111,5.0,"16, 25, 43, 67, 98"
TKTTQK,3012,4.0,"14, 35, 41, 44"
TKTTKJ,3102,9.0,"12, 16, 19, 31, 63, 82, 91, 93, 94"
TKTTKK,3003,6.0,"16, 28, 37, 92, 94, 95"
TKTJTJ,3201,5.0,"32, 68, 77, 95, 98"
TKTJTK,3102,7.0,"13, 24, 27, 52, 61, 63, 82"
TKTJJJ,2301,7.0,"13, 14, 28, 34, 37, 49, 59"
TKTJJK,2202,6.0,"24, 38, 45, 57, 63, 87"
TKTJQJ,2211,8.0,"22, 33, 57, 58, 64, 67, 79, 96"
TKTJQK,2112,8.0,"13, 17, 28, 35, 56, 62, 73, 97"
TKTJKJ,2202,9.0,"12, 14, 21, 27, 47, 54, 62, 87, 93"
TKTJKK,2103,3.0,"12, 87, 99"
